"Joint
Number
",wheel,type,WT,"ID/
OD
",hours,minutes,degrees,DTDC,depth,length,width
285,11546.592,MLOS,0.25,E,6,5,182.5,-177.5,43,3.8,1.72
286,11569.608,MLOS,0.25,U,6,40,200,-160,30,0.3,0.8
287,11647.275,MLOS,0.25,E,6,20,190,-170,19,0.6,0.8
287,11648.608,MLOS,0.25,E,5,45,172.5,172.5,18,0.7,2.94
288,11719.308,MLOS,0.25,E,6,10,185,-175,22,3.1,3.19
289,11722.542,MLOS,0.25,E,7,0,210,-150,23,0.6,0.7
290,11816.117,MLOS,0.25,E,6,25,192.5,-167.5,23,0.7,0.8
303,12403.508,MLOS,0.25,E,6,15,187.5,-172.5,18,0.5,0.7
304,12406.025,MLOS,0.25,E,6,10,185,-175,18,1.8,0.76
304,12406.425,MLOS,0.25,E,6,10,185,-175,19,0.6,0.7
305,12457.6,MLOS,0.25,U,6,25,192.5,-167.5,35,0.4,0.7
314,12917.925,MLOS,0.25,E,12,35,17.5,17.5,25,0.5,0.6
314,12955.208,MLOS,0.25,E,7,0,210,-150,25,6.6,6.58
314,12955.4,MLOS,0.25,E,5,35,167.5,167.5,18,1,0.91
314,12956.358,MLOS,0.25,E,6,5,182.5,-177.5,18,0.9,1
314,12956.642,MLOS,0.25,E,5,30,165,165,27,0.6,0.6
314,12957.525,MLOS,0.25,E,5,50,175,175,22,0.7,0.6
315,12974.542,MLOS,0.25,E,7,0,210,-150,20,1.2,1.2
315,12978.025,MLOS,0.25,E,6,50,205,-155,18,0.5,0.8
315,12980.792,MLOS,0.25,E,6,0,180,180,21,2.4,4.3
315,12981.592,MLOS,0.25,E,5,25,162.5,162.5,24,0.6,0.7
318,13093.475,MLOS,0.25,E,5,45,172.5,172.5,19,0.2,0.5
318,13095.758,MLOS,0.25,E,6,30,195,-165,29,1.9,2.03
318,13130.583,MLOS,0.25,E,6,40,200,-160,19,2.4,1.77
318,13142.233,MLOS,0.25,E,5,35,167.5,167.5,21,2.2,1.62
319,13183.025,MLOS,0.25,E,7,50,235,-125,19,0.6,0.8
320,13196.192,MLOS,0.25,E,5,45,172.5,172.5,20,0.8,0.8
320,13216.483,MLOS,0.25,I,5,20,160,160,21,0.9,1.2
320,13243.058,MLOS,0.25,E,6,40,200,-160,23,1,1.67
320,13243.258,MLOS,0.25,E,6,45,202.5,-157.5,23,0.6,0.7
321,13244.75,MLOS,0.25,E,6,25,192.5,-167.5,20,1.2,1.27
