wheel,station,Tool Speed (ft/sec),depth,WT,SMYS,length,width,clock,degrees,DTDC,Int/Ext
18207.22,18186.94,7.47,21,0.25,42000,0.476,0.889,1:00,32,32,External
19034.69,19045.1,10.83,26,0.281,52000,1.767,0.439,1:30,44,44,External
20381.75,20382.47,10.42,20,0.25,35000,1.129,1.255,3:15,102,102,External
20811.26,20808.83,9.14,34,0.25,35000,2.276,0.915,1:00,28,28,External
21265.66,21260.03,7.42,25,0.25,35000,0.503,0.333,12:45,20,20,External
21344.9,21338.69,7.91,20,0.25,35000,0.638,0.498,12:15,7,7,External
21351.25,21344.97,7.49,20,0.25,35000,1.305,0.94,11:00,332,-28,External
21359.23,21352.92,7.71,21,0.25,35000,0.515,0.333,6:00,182,-178,External
21391.97,21385.41,6.99,21,0.25,35000,0.887,1.004,5:45,173,173,Internal
21392.24,21385.55,6.99,19,0.25,35000,3.817,3.02,6:00,178,178,Internal
21400.24,21393.63,6.63,29,0.25,35000,0.769,0.759,5:30,164,164,External
21846.08,21826.42,23.33,21,0.219,52000,1.085,1.2,8:15,252,-108,External
23349.45,23279.9,16.46,19,0.25,35000,1.409,0.93,1:45,50,50,External
23356.28,23286.53,16.07,23,0.25,35000,0.773,0.876,1:15,36,36,External
23762.46,23679.23,12.35,26,0.25,35000,0.61,0.584,2:15,72,72,External
24218.47,24123.45,8.78,20,0.25,35000,1.587,0.549,5:30,163,163,External
24219.82,24124.8,8.78,33,0.25,35000,1.614,0.551,5:15,159,159,External
24220.74,24125.74,8.85,26,0.25,35000,1.029,1.264,5:15,156,156,External
24224.72,24129.69,8.85,22,0.25,35000,0.986,0.676,5:30,164,164,External
24272.7,24177.33,8.72,46,0.25,35000,3.534,1.036,6:15,192,-168,External
24273.48,24178.18,8.72,42,0.25,35000,1.619,2.076,6:00,183,-177,External
24273.53,24178.27,8.72,21,0.25,35000,0.72,0.333,5:15,158,158,External
24273.94,24178.67,8.72,28,0.25,35000,0.932,0.913,6:15,191,-169,External
24274.28,24178.94,8.72,24,0.25,35000,2.343,0.86,6:15,189,-171,External
24275.35,24180.04,8.72,21,0.25,35000,1.678,0.588,6:15,188,-172,External
24275.68,24180.41,8.72,40,0.25,35000,0.811,0.502,6:15,189,-171,External
24276.26,24180.95,8.72,30,0.25,35000,1.599,0.653,6:15,189,-171,External
24295.76,24200.32,8.25,33,0.25,35000,2.401,0.828,6:15,188,-172,External
24296.32,24200.87,8.25,19,0.25,35000,2.589,0.629,5:30,169,169,External
24296.31,24200.94,8.25,19,0.25,35000,0.632,0.636,6:15,186,-174,External
